date,order_quantity,delivery_distance,weather_impact,is_holiday,is_promotion,delivery_time,satisfaction,day_of_week,geo_cluster_encoded,_demand_intensity,_time_pattern,_weekly_rhythm,_monthly_rhythm
2024-12-07,60,107,0,1,1,16,4.3,5,2,0.35367665723356584,0.5,0.0,0.0
2024-12-08,68,109,2,1,0,27,3.3,6,2,0.2485580660782393,0.5062893089193705,0.16279851216509433,0.03772789267871718
2024-12-09,90,59,0,0,0,2,5.0,0,0,0.4159590873381714,0.5125776226946879,0.3212533436841437,0.07540206458240159
2024-12-10,59,82,0,0,1,14,4.4,1,1,0.15996757580999196,0.5188639463393586,0.47113670908301786,0.11296887142907283
2024-12-11,90,50,0,0,0,7,4.6,2,0,0.5502830780616322,0.5251472851816831,0.6084495209942171,0.1503748218139367
2024-12-12,52,107,1,0,1,21,2.8,3,2,0.11094528759339801,0.531426645022241,0.7295280911221884,0.18756665337583714
2024-12-13,99,82,0,0,0,9,4.4,4,1,0.5098966417920571,0.5377010322912008,0.8311418823156936,0.22449140863757258
2024-12-14,79,113,0,1,1,11,5.0,5,2,0.17727037947274454,0.5439694542055307,0.9105797035920355,0.2610965104120882
2024-12-15,67,44,0,1,0,2,4.7,6,0,0.19829047191334442,0.550230918926084,0.9657220483153546,0.2973298366671723
2024-12-16,87,113,0,0,1,15,4.2,0,2,0.37623678821354994,0.5564844357145364,0.995097645450266,0.33313979474205757
2024-12-17,126,109,0,0,0,14,4.9,1,2,0.5434668040445325,0.562729015090148,0.9979227150282433,0.3684753948102499
2024-12-18,61,80,0,0,0,5,3.9,2,1,0.08476376294265023,0.5689636689863268,0.9741218804387363,0.4032863224839812
2024-12-19,82,105,0,0,0,5,5.0,3,2,0.3579287927839609,0.5751874109069683,0.9243301795773083,0.4375230104569043
2024-12-20,87,48,0,0,1,7,3.8,4,0,0.2733207739503824,0.5813992560825472,0.8498761211906865,0.4711367090830178
2024-12-21,63,44,0,1,0,7,4.8,5,0,0.13437614109485027,0.5875982216259344,0.7527462384979547,0.5040795557913246
2024-12-22,69,74,0,1,0,5,4.7,6,1,0.35325485000480755,0.5937833266879186,0.6355320858443841,0.5363046432373824
2024-12-23,68,111,2,0,0,18,3.4,0,2,0.13279012143275798,0.5999535926124023,0.501361092587606,0.5677660860947078
2024-12-24,66,78,1,0,0,16,3.2,1,1,0.32643436842516804,0.606108043091254,0.3538131191263388,0.5984190863909268
2024-12-25,53,43,0,0,0,10,4.2,2,0,0.1658104012585459,0.6122457043187863,0.19682494146770554,0.6282199972956423
2024-12-26,52,90,1,0,0,13,4.1,3,1,0.207734214505591,0.6183656051458398,0.034585212811817465,0.6571263852691885
2024-12-27,56,44,0,0,0,2,4.6,4,0,0.26340848808284784,0.6244667772334458,-0.12857729528186848,0.6850970904837809
2024-12-28,40,85,2,1,0,20,3.4,5,1,0.39001433036648914,0.6305482552060441,-0.2883091902722216,0.7120922854310253
2024-12-29,31,72,0,1,0,9,4.6,6,1,0.15364547000727538,0.636609076804233,-0.44034861293461913,0.7380735316323389
2024-12-30,57,112,0,0,1,11,4.2,0,2,0.30550235119832064,0.6426482830370248,-0.5806389494286053,0.7630038343715273
2024-12-31,46,48,0,0,1,11,4.2,1,0,0.203313881265596,0.6486649183335862,-0.7054370671459532,0.7868476953715899
2025-01-01,19,76,0,0,1,10,4.5,2,1,0.18387687608823067,0.6546580306944344,-0.8114131864628659,0.809571163340744
2025-01-02,56,50,2,0,0,15,3.1,3,0,0.36782408723548077,0.6606266718420718,-0.8957397236852555,0.8311418823156935
2025-01-03,21,50,0,0,0,0,5.0,4,0,0.20209676646387698,0.6665698973710288,-0.956166734739251,0.8515291377333112
2025-01-04,23,105,0,1,0,15,4.1,5,2,0.18633950452881945,0.6724867668972953,-0.9910819466690196,0.8707039001651274
2025-01-05,34,105,0,1,1,14,4.0,6,2,0.2835202997539891,0.6783763442071158,-0.9995537752217639,0.8886388666523558
2025-01-06,20,42,1,0,0,8,4.5,0,0,0.10039930306621214,0.684237697405125,-0.9813561807535595,0.9053084995825966
2025-01-07,41,111,0,0,0,13,4.1,1,2,0.20772938916523406,0.6900698990617984,-0.9369746992674381,0.920689063052863
2025-01-08,46,103,0,0,0,10,4.2,2,2,0.3096377073595142,0.6958720263601986,-0.8675934876676014,0.934758656667151
2025-01-09,17,110,2,0,0,22,1.6,3,2,0.0443858001226034,0.7016431612419907,-0.7750637288796017,0.9474972467204298
